,raceId,driverId,constructorId,grid,positionOrder,statusId,year,constructorPower,constructorForm,driverPerformance
0,18,1,1,1,1,1,2008.0,0.6232802959048005,5.000164300340007,1.7715610000000008
1,18,5,1,3,5,1,2008.0,0.6232802959048005,5.000164300340007,1.4641000000000004
2,18,2,2,5,2,1,2008.0,3.0562390832933315,2.273518167203879,2.5937424601000023
3,18,9,2,2,\N,4,2008.0,3.0562390832933315,2.273518167203879,5.054470284992945
4,18,3,3,7,3,1,2008.0,1.8268815547508408,3.0562390832933315,0.5644739300537771
5,18,6,3,13,6,11,2008.0,1.8268815547508408,3.0562390832933315,0.3855432894295314
6,18,4,4,11,4,1,2008.0,2.273518167203879,1.8268815547508408,1.6105100000000006
7,18,12,4,20,\N,8,2008.0,2.273518167203879,1.8268815547508408,0.5131581182307065
8,18,7,5,17,7,5,2008.0,1.1276580727581926,1.5268514086339717,0.6830134553650705
9,18,20,5,9,\N,4,2008.0,1.1276580727581926,1.5268514086339717,1.2100000000000002
10,18,8,6,15,8,5,2008.0,5.000164300340007,1.3043673819053694,2.5937424601000023
11,18,13,6,4,\N,5,2008.0,5.000164300340007,1.3043673819053694,0.19784466890013494
12,19,8,6,2,1,1,2008.0,5.000164300340007,2.273518167203879,1.9487171000000008
13,19,13,6,1,\N,20,2008.0,5.000164300340007,2.273518167203879,2.5937424601000023
14,19,9,2,4,2,1,2008.0,3.0562390832933315,3.0562390832933315,0.8264462809917354
15,19,2,2,5,6,1,2008.0,3.0562390832933315,3.0562390832933315,1.3310000000000004
16,19,5,1,8,3,1,2008.0,0.6232802959048005,5.000164300340007,0.3855432894295314
17,19,1,1,9,5,1,2008.0,0.6232802959048005,5.000164300340007,1.2100000000000002
18,19,15,7,3,4,1,2008.0,1.3043673819053694,1.3043673819053694,0.3855432894295314
19,19,10,7,10,\N,4,2008.0,1.3043673819053694,1.3043673819053694,0.6209213230591549
20,19,17,9,6,7,1,2008.0,1.5268514086339717,1.1276580727581926,0.7513148009015775
21,19,14,9,12,9,1,2008.0,1.5268514086339717,1.1276580727581926,0.8264462809917354
22,19,4,4,7,8,1,2008.0,2.273518167203879,1.5268514086339717,1.6105100000000006
23,19,12,4,13,11,1,2008.0,2.273518167203879,1.5268514086339717,1.0488088481701516
24,19,18,11,11,10,1,2008.0,0.9797621139807148,0.8505550881170205,0.8667841720414474
25,19,22,11,14,13,11,2008.0,0.9797621139807148,0.8505550881170205,2.5937424601000023
26,19,21,10,17,12,11,2008.0,1.5268514086339717,0.7333619496011154,1.153689732987167
27,19,16,10,20,\N,9,2008.0,1.5268514086339717,0.7333619496011154,0.9534625892455922
28,19,3,3,16,14,11,2008.0,1.8268815547508408,1.8268815547508408,0.8264462809917354
29,19,6,3,22,17,12,2008.0,1.8268815547508408,1.8268815547508408,3.138428376721003
30,19,19,8,21,15,11,2008.0,0.8505550881170205,0.6232802959048005,1.2100000000000002
31,19,11,8,19,16,12,2008.0,0.8505550881170205,0.6232802959048005,1.4641000000000004
32,19,20,5,15,\N,5,2008.0,1.1276580727581926,0.9797621139807148,0.3186308177103565
33,19,7,5,18,\N,20,2008.0,1.1276580727581926,0.9797621139807148,1.5355610346059194
34,20,13,6,2,1,1,2008.0,5.000164300340007,3.0562390832933315,0.6830134553650705
35,20,8,6,4,2,1,2008.0,5.000164300340007,3.0562390832933315,2.0438317370604797
36,20,9,2,1,3,1,2008.0,3.0562390832933315,5.000164300340007,0.5920252524017807
37,20,2,2,6,4,1,2008.0,3.0562390832933315,5.000164300340007,1.6891171380665115
38,20,5,1,5,5,1,2008.0,0.6232802959048005,2.273518167203879,0.4892770681006451
39,20,1,1,3,13,11,2008.0,0.6232802959048005,2.273518167203879,1.153689732987167
40,20,15,7,7,6,1,2008.0,1.3043673819053694,1.5268514086339717,0.6209213230591549
41,20,10,7,13,9,1,2008.0,1.3043673819053694,1.5268514086339717,0.6512277776419588
42,20,17,9,11,7,1,2008.0,1.5268514086339717,1.1276580727581926,0.3855432894295314
43,20,14,9,17,18,11,2008.0,1.5268514086339717,1.1276580727581926,0.8667841720414474
44,20,3,3,8,8,1,2008.0,1.8268815547508408,1.8268815547508408,0.8006027323565819
45,20,6,3,16,14,11,2008.0,1.8268815547508408,1.8268815547508408,1.2490589397022045
46,20,4,4,10,10,1,2008.0,2.273518167203879,1.3043673819053694,1.2490589397022045
47,20,12,4,14,\N,6,2008.0,2.273518167203879,1.3043673819053694,0.800602732356582
48,20,22,11,12,11,1,2008.0,0.9797621139807148,0.8505550881170205,1.1
49,20,18,11,9,\N,4,2008.0,0.9797621139807148,0.8505550881170205,2.512634333708267
50,20,21,10,18,12,11,2008.0,1.5268514086339717,0.7333619496011154,1.5113613170396676
51,20,16,10,20,19,12,2008.0,1.5268514086339717,0.7333619496011154,2.512634333708267
52,20,7,5,15,15,11,2008.0,1.1276580727581926,0.9797621139807148,0.3979886713257443
