,raceId,driverId,constructorId,grid,position,statusId,constructorForm,driverPerformance
382,37,8,6,3,3,1,5.000164300340007,0.9304577676181545
383,37,13,6,1,5,1,5.000164300340007,0.595209378167507
384,37,2,2,5,4,1,3.0562390832933315,0.9936597099353724
385,37,9,2,7,18,11,3.0562390832933315,0.5493004600455449
386,37,21,4,12,6,1,2.273518167203879,0.8650670292095166
387,37,5,4,11,8,1,2.273518167203879,0.6313947038935961
388,37,15,7,8,7,1,1.8268815547508408,0.8228185034689511
389,37,23,7,9,15,11,1.8268815547508408,0.6572870861986098
390,37,25,3,19,9,1,1.5268514086339717,0.6044633569809079
391,37,3,3,6,\N,9,1.5268514086339717,0.9135638825889782
392,37,17,9,10,10,1,1.3043673819053694,0.9876434423834515
393,37,14,9,13,\N,23,1.3043673819053694,0.5568163831615712
394,37,22,11,22,11,11,1.1276580727581926,0.7128140986174973
395,37,18,11,15,12,11,1.1276580727581926,0.7502601055951177
396,37,11,8,14,13,11,0.9797621139807148,0.8546516892561985
397,37,19,8,18,16,11,0.9797621139807148,0.6374870880727223
398,37,26,5,17,14,11,0.8505550881170205,0.704076110794661
399,37,24,5,16,17,11,0.8505550881170205,0.760184216282552
400,37,27,12,20,\N,5,0.7333619496011154,0.6956029907222245
401,37,16,12,21,\N,4,0.7333619496011154,0.7702989490466019
402,38,13,6,1,1,1,5.000164300340007,0.646000478363999
403,38,8,6,3,3,1,5.000164300340007,0.8405729710282837
404,38,1,1,2,2,1,0.6232802959048005,0.724866149113898
405,38,4,1,4,5,1,0.6232802959048005,0.7373577049192391
406,38,2,2,5,4,1,3.0562390832933315,0.9623025774873808
407,38,9,2,6,6,1,3.0562390832933315,0.5765598603265071
408,38,15,7,9,7,1,1.8268815547508408,0.861612414289795
409,38,23,7,14,12,11,1.8268815547508408,0.6333980587461118
410,38,21,4,7,8,1,2.273518167203879,0.861612414289795
411,38,5,4,12,9,1,2.273518167203879,0.6333980587461118
412,38,3,3,10,10,1,1.5268514086339717,0.868502127687785
413,38,25,3,11,11,11,1.5268514086339717,0.6294184854961197
414,38,22,11,15,13,11,1.1276580727581926,0.7771369166229789
415,38,18,11,16,\N,4,1.1276580727581926,0.6901033966578752
416,38,27,12,22,14,12,0.7333619496011154,0.7012220749464226
417,38,16,12,20,15,14,0.7333619496011154,0.7635356681676853
418,38,19,8,13,16,5,0.9797621139807148,0.7012220749464226
419,38,11,8,17,\N,5,0.9797621139807148,0.7635356681676853
420,38,17,9,8,\N,6,1.3043673819053694,0.9848911158760568
421,38,14,9,21,\N,30,1.3043673819053694,0.5595638239566655
422,38,24,5,18,\N,9,0.8505550881170205,0.7702989490466019
423,38,26,5,19,\N,4,0.8505550881170205,0.6956029907222245
424,39,13,6,1,1,1,5.000164300340007,0.7502601055951177
425,39,8,6,3,\N,22,5.000164300340007,0.7128140986174973
426,39,1,1,4,2,1,0.6232802959048005,0.7218109992535692
427,39,4,1,2,3,1,0.6232802959048005,0.7405460997436751
428,39,9,2,5,4,1,3.0562390832933315,0.6374870880727223
429,39,2,2,7,\N,6,3.0562390832933315,0.8546516892561985
430,39,14,9,9,5,1,1.3043673819053694,0.6538247109161819
