raceId,year,round,circuitId,name,date
873,2012,14,15,Singapore Grand Prix,2012-09-23
953,2016,6,6,Monaco Grand Prix,2016-05-29
843,2011,3,17,Chinese Grand Prix,2011-04-17
943,2015,17,32,Mexican Grand Prix,2015-11-01
879,2012,20,18,Brazilian Grand Prix,2012-11-25
963,2016,16,2,Malaysian Grand Prix,2016-10-02
942,2015,16,69,United States Grand Prix,2015-10-25
952,2016,5,4,Spanish Grand Prix,2016-05-15
862,2012,3,17,Chinese Grand Prix,2012-04-15
982,2017,14,15,Singapore Grand Prix,2017-09-17
865,2012,6,6,Monaco Grand Prix,2012-05-27
983,2017,15,2,Malaysian Grand Prix,2017-10-01
950,2016,3,17,Chinese Grand Prix,2016-04-17
959,2016,12,10,German Grand Prix,2016-07-31
894,2013,14,35,Korean Grand Prix,2013-10-06
845,2011,5,4,Spanish Grand Prix,2011-05-22
907,2014,8,70,Austrian Grand Prix,2014-06-22
866,2012,7,7,Canadian Grand Prix,2012-06-10
971,2017,3,3,Bahrain Grand Prix,2017-04-16
930,2015,5,4,Spanish Grand Prix,2015-05-10
985,2017,17,69,United States Grand Prix,2017-10-22
901,2014,2,2,Malaysian Grand Prix,2014-03-30
853,2011,13,14,Italian Grand Prix,2011-09-11
908,2014,9,9,British Grand Prix,2014-07-06
898,2013,18,69,United States Grand Prix,2013-11-17
979,2017,11,11,Hungarian Grand Prix,2017-07-30
954,2016,7,7,Canadian Grand Prix,2016-06-12
981,2017,13,14,Italian Grand Prix,2017-09-03
910,2014,11,11,Hungarian Grand Prix,2014-07-27
893,2013,13,15,Singapore Grand Prix,2013-09-22
918,2014,19,24,Abu Dhabi Grand Prix,2014-11-23
937,2015,11,13,Belgian Grand Prix,2015-08-23
884,2013,5,4,Spanish Grand Prix,2013-05-12
961,2016,14,14,Italian Grand Prix,2016-09-04
